id,time,value
prison/Aboriginal_Torres_Strait_Islander_persons_in_full_time_custody/ACT,2,109.0
prison/Aboriginal_Torres_Strait_Islander_persons_in_full_time_custody/Aust,2,14011.0
prison/Unsentenced_persons_in_full_time_custody/NSW,0,4788.0
prison/Unsentenced_persons_in_full_time_custody/Vic,0,2924.0
prison/Unsentenced_persons_in_full_time_custody/Qld,0,3093.0
prison/Unsentenced_persons_in_full_time_custody/SA,0,1412.0
prison/Unsentenced_persons_in_full_time_custody/WA,0,1876.0
prison/Unsentenced_persons_in_full_time_custody/Tas,0,184.0
prison/Unsentenced_persons_in_full_time_custody/NT,0,687.0
prison/Unsentenced_persons_in_full_time_custody/ACT,0,149.0
prison/Unsentenced_persons_in_full_time_custody/Aust,0,15114.0
prison/Unsentenced_persons_in_full_time_custody/NSW,1,4891.0
prison/Unsentenced_persons_in_full_time_custody/Vic,1,2818.0
prison/Unsentenced_persons_in_full_time_custody/Qld,1,3598.0
prison/Unsentenced_persons_in_full_time_custody/SA,1,1463.0
prison/Unsentenced_persons_in_full_time_custody/WA,1,2188.0
prison/Unsentenced_persons_in_full_time_custody/Tas,1,239.0
prison/Unsentenced_persons_in_full_time_custody/NT,1,786.0
prison/Unsentenced_persons_in_full_time_custody/ACT,1,176.0
prison/Unsentenced_persons_in_full_time_custody/Aust,1,16158.0
prison/Unsentenced_persons_in_full_time_custody/NSW,2,5000.0
prison/Unsentenced_persons_in_full_time_custody/Vic,2,2614.0
prison/Unsentenced_persons_in_full_time_custody/Qld,2,3761.0
prison/Unsentenced_persons_in_full_time_custody/SA,2,1391.0
prison/Unsentenced_persons_in_full_time_custody/WA,2,2320.0
prison/Unsentenced_persons_in_full_time_custody/Tas,2,284.0
prison/Unsentenced_persons_in_full_time_custody/NT,2,803.0
prison/Unsentenced_persons_in_full_time_custody/ACT,2,174.0
prison/Unsentenced_persons_in_full_time_custody/Aust,2,16348.0
prison/Sentenced_persons_in_full_time_custody/NSW,0,7672.0
prison/Sentenced_persons_in_full_time_custody/Vic,0,3734.0
prison/Sentenced_persons_in_full_time_custody/Qld,0,6087.0
